url,fid,name,nick,birth_date,height,weight,association,class,locality,country,
/fighter/Joaquim-Silva-146291,146291,Joaquim Silva,Netto BJJ,2/5/1989,68,155,Evolucao Thai,Lightweight,"Anapolis, Goias",Brazil,
/fighter/Darren-Till-73436,73436,Darren Till,,12/24/1992,72,170,Astra Fight Team,Welterweight,"Liverpool, Merseyside",England,
/fighter/Steven-Lynch-15882,15882,Steven Lynch,,,70,170,,Welterweight,Antrim,Northern Ireland,
/fighter/Ren233-van-de-Zande-3971,233,Ren&#233, van de Zande,,,,,,N/A,,Holland
/fighter/Lars-Nor233n-26797,233,Lars Nor&#233,n,,,,,,N/A,,
/fighter/Arnold-Allen-97499,97499,Arnold Allen,Almighty,1/17/1994,69,145,BKK Fighters,Featherweight,"Felixstowe, Suffolk",England,
/fighter/Damian-Stasiak-86920,86920,Damian Stasiak,Webster,2/20/1990,68,145,United Gym,Featherweight,Lodz,Poland,
/fighter/Danny-Abbadi-16696,16696,Danny Abbadi,,,71,185,,Middleweight,"Orlando, Florida",United States,
/fighter/Alan-Omer-23437,23437,Alan Omer,,9/14/1988,69,145,Stallion Cage,Featherweight,"Erbil, Kurdistan Region",Iraq,
/fighter/Jocelyn-JonesLybarger-68957,68957,Jocelyn Jones-Lybarger,,10/4/1985,67,115,MMA Lab,Strawweight,"Phoenix, Arizona",United States,
/fighter/Michel-Gagnon-37404,37404,Mitch Gagnon,,10/10/1984,66,135,Troop MMA,Bantamweight,"Sudbury, Ontario",Canada,
/fighter/Daniel-Barrera-23762,23762,Daniel Barrera,,12/23/1980,,170,,Welterweight,"Radcliff, Kentucky",United States,
/fighter/Jack-Nilson-161,161,Jack Nilson,The Ripper,,,,,N/A,,,
/fighter/T.J.-Grant-15906,15906,T.J. Grant,,2/26/1984,70,155,Fit Plus,Lightweight,"Cole Harbour, Nova Scotia",Canada,
/fighter/Erick-Montano-40308,40308,Erick Montano,Perry,,,170,Bonebreakers Team,Welterweight,,Mexico,
/fighter/Nathan-Diaz-11451,11451,Nate Diaz,,,70,155,,Lightweight,,,
/fighter/Aleksandra-Albu-144949,144949,Aleksandra Albu,Stitch,7/14/1990,62,115,Red Fury Fight Team,Strawweight,Moscow,Russia,
/fighter/Sean-Gannon-11962,11962,Sean Gannon,The Cannon,,75,265,,Heavyweight,"Boston, Massachusetts",United States,
/fighter/Freddy-Serrano-112413,112413,Freddy Serrano,Bam Bam,9/22/1979,62,125,Octagon MMA Colombia,Flyweight,Bogota,Colombia,
/fighter/Troy-Mandaloniz-12096,12096,Troy Mandaloniz,Rude Boy,1/2/1980,69,170,,Welterweight,"Hilo, Hawaii",United States,
/fighter/Ironman-238-58642,238,Ironman 238,,,,145,T-Pleasure,Featherweight,,Japan,
/fighter/Dave-Galera-93863,93863,Dave Galera,Scarecrow,,71,135,Lakay MMA,Bantamweight,"Baguio, Cordillera Administrative Region",Philippines,
/fighter/Mike-Jackson-63272,63272,Mike Jackson,The Truth,3/22/1985,74,170,4oz. Fight Club,Welterweight,"Houston, Texas",United States,
/fighter/Matheus-Nicolau-Pereira-69341,69341,Matheus Nicolau Pereira,,1/6/1993,66,135,Nova Uniao,Bantamweight,"Belo Horizonte, Minas Gerais",Brazil,
/fighter/Alex-Nicholson-121077,121077,Alex Nicholson,The Spartan,5/2/1990,76,227,,Heavyweight,"Apopka, Florida",United States,
